"		지점번호",지점명,일시,평균습도(%rh),최저습도(%rh)
"		108",서울,Jan-73,74,38
"		108",서울,Feb-73,64,28
"		108",서울,Mar-73,61,22
"		108",서울,Apr-73,72,23
"		108",서울,May-73,65,25
"		108",서울,Jun-73,76,28
"		108",서울,Jul-73,85,54
"		108",서울,Aug-73,89,52
"		108",서울,Sep-73,76,26
"		108",서울,Oct-73,67,24
"		108",서울,Nov-73,67,33
"		108",서울,Dec-73,66,32
"		108",서울,Jan-74,64,27
"		108",서울,Feb-74,66,32
"		108",서울,Mar-74,69,28
"		108",서울,Apr-74,66,26
"		108",서울,May-74,68,27
"		108",서울,Jun-74,73,33
"		108",서울,Jul-74,82,45
"		108",서울,Aug-74,80,45
"		108",서울,Sep-74,74,36
"		108",서울,Oct-74,72,25
"		108",서울,Nov-74,64,28
"		108",서울,Dec-74,64,29
"		108",서울,Jan-75,62,29
"		108",서울,Feb-75,57,19
"		108",서울,Mar-75,70,26
"		108",서울,Apr-75,63,18
"		108",서울,May-75,66,20
"		108",서울,Jun-75,75,30
"		108",서울,Jul-75,83,44
"		108",서울,Aug-75,73,32
"		108",서울,Sep-75,74,31
"		108",서울,Oct-75,67,30
"		108",서울,Nov-75,62,23
"		108",서울,Dec-75,58,20
"		108",서울,Jan-76,57,23
"		108",서울,Feb-76,65,18
"		108",서울,Mar-76,60,16
"		108",서울,Apr-76,56,15
"		108",서울,May-76,57,17
"		108",서울,Jun-76,67,26
"		108",서울,Jul-76,74,30
"		108",서울,Aug-76,82,48
"		108",서울,Sep-76,70,32
"		108",서울,Oct-76,68,20
"		108",서울,Nov-76,67,20
"		108",서울,Dec-76,69,30
"		108",서울,Jan-77,60,28
"		108",서울,Feb-77,61,20
"		108",서울,Mar-77,62,23
"		108",서울,Apr-77,67,19
"		108",서울,May-77,67,16
"		108",서울,Jun-77,68,27
"		108",서울,Jul-77,81,46
"		108",서울,Aug-77,66,27
"		108",서울,Sep-77,70,28
"		108",서울,Oct-77,71,22
"		108",서울,Nov-77,69,30
"		108",서울,Dec-77,74,30
"		108",서울,Jan-78,67,32
"		108",서울,Feb-78,65,31
"		108",서울,Mar-78,64,25
"		108",서울,Apr-78,55,16
"		108",서울,May-78,53,18
"		108",서울,Jun-78,72,23
"		108",서울,Jul-78,81,40
"		108",서울,Aug-78,81,44
"		108",서울,Sep-78,72,31
"		108",서울,Oct-78,65,22
"		108",서울,Nov-78,64,29
"		108",서울,Dec-78,66,22
"		108",서울,Jan-79,66,18
"		108",서울,Feb-79,64,24
"		108",서울,Mar-79,61,23
"		108",서울,Apr-79,59,21
"		108",서울,May-79,67,20
"		108",서울,Jun-79,83,39
"		108",서울,Jul-79,81,44
"		108",서울,Aug-79,78,33
"		108",서울,Sep-79,73,36
