일자,기온(°C),기온(°F),습도(%),열지수
19900704,21.4,70.6,84.1,21.45
19900705,24.3,75.7,75.8,24.28
19900706,24.9,76.8,85.8,24.9
19900707,26.6,79.9,89.3,26.62
19900708,27.2,81,80.3,30.32
19900709,27.3,81.1,78.5,30.25
19900710,27.8,82.1,74.4,30.93
19900711,25,76.9,88.8,24.96
19900712,25.9,78.6,83.1,25.89
19900713,23.5,74.3,87,23.5
19900714,22.5,72.6,94.1,22.54
19900715,23.4,74.1,93,23.37
19900716,24.6,76.4,90,24.65
19900717,23.3,74,90.9,23.31
19900718,23.9,75,92.3,23.9
19900719,25.5,77.8,84.4,25.46
19900720,25.2,77.3,91.3,25.17
19900721,24.9,76.7,93.1,24.85
19900722,25.8,78.4,86,25.77
19900723,25.2,77.4,90.8,25.24
19900724,24.9,76.8,88.9,24.9
19900725,25.3,77.5,86.9,25.27
19900726,25.7,78.3,87.8,25.7
19900727,26.9,80.5,85.3,30.07
19900728,28.4,83.2,79.1,33.04
19900729,28.9,84.1,80.3,34.58
19900730,29.1,84.4,78.4,34.69
19900731,28.5,83.3,74.9,32.42
19900801,28.5,83.3,74.9,32.51
19900802,29,84.2,76.5,34.01
19900803,28.9,84,73.5,33.12
19900804,28.2,82.8,72.4,31.49
19900805,28.8,83.9,72.9,32.83
19900806,29.2,84.6,70.5,33.32
19900807,29.8,85.7,71.3,34.95
19900808,28.3,83,74.9,32.05
19900809,27.2,81,74.1,29.59
19900810,26.2,79.1,82.8,26.16
19900811,26.3,79.3,74.6,26.25
19900812,27.3,81.2,73.9,29.81
19900813,28.2,82.7,68.1,30.76
19900814,25.5,77.9,78.6,25.49
19900815,26.6,79.9,79.6,26.64
19900816,24.2,75.6,83.6,24.21
19900817,24.9,76.8,76.6,24.91
19900818,25.9,78.6,69.9,25.87
19900819,24.9,76.8,84,24.87
19900820,24.4,75.9,91.6,24.41
19900821,23.7,74.6,94.5,23.65
19900822,26.5,79.7,82.3,26.51
19900823,24.9,76.9,79.9,24.92
19900824,25.6,78.1,77,25.63
19900825,25.5,77.9,79.4,25.49
19900826,25.9,78.5,81.1,25.85
19900827,27,80.6,71,28.92
19900828,26.9,80.5,70.8,28.79
19900829,26.5,79.8,69.6,26.54
19900830,26.4,79.6,68.9,26.42
19900831,22.4,72.2,90,22.36
19900901,20.3,68.5,93.6,20.28
19900902,25.5,77.8,78.6,25.47
19900903,22.6,72.6,79.1,22.57
19900904,22.7,72.9,77,22.72
19900905,24,75.2,80,24.01
19900906,23.7,74.6,80,23.68
19900907,25.7,78.3,74.3,25.71
19900908,25.3,77.5,81.5,25.3
19900909,23.9,75.1,87.9,23.92
19900910,22,71.6,94,21.99
19900911,18.2,64.8,96.9,18.23
19900912,21.8,71.2,82.3,21.77
19900913,22.2,72,64.3,22.2
19900914,20.5,68.9,73.4,20.49
19900915,20.6,69.1,72.9,20.63
19900916,20.6,69.1,70,20.63
19900917,19.2,66.6,73.1,19.24
19900918,16.3,61.3,56.1,16.3
19900919,18.2,64.7,58.1,18.16
19900920,19.5,67.1,66.4,19.52
19900921,20.6,69.1,71.3,20.61
19900922,21,69.8,73.5,21
19900923,20.4,68.7,76.5,20.4
19900924,19.5,67.1,72.3,19.51
19900925,20.1,68.2,57,20.1
19900926,20.2,68.4,58.1,20.22
19900927,19.3,66.8,62.4,19.32
19900928,20.7,69.3,72,20.71
19900929,21,69.8,66.6,21.02
19900930,20.9,69.7,62.1,20.94
19910501,11.1,52,57,11.09
19910502,11.5,52.6,51.4,11.46
19910503,13,55.4,40.5,13.01
19910504,14,57.1,50.5,13.96
19910505,16.1,60.9,44.1,16.08
19910506,14.2,57.6,52.9,14.23
19910507,14.6,58.3,78.9,14.62
19910508,14.7,58.4,73.3,14.69
19910509,17.3,63.1,55.8,17.29
19910510,18,64.4,57.1,17.98
19910511,18.4,65.1,58.8,18.41
19910512,17.2,63,58.4,17.2
19910513,17.4,63.4,69.3,17.44
19910514,19.4,67,56.3,19.44
19910515,17.8,64.1,58,17.82
19910516,13.7,56.7,78.5,13.7
19910517,16.5,61.7,58.9,16.5
19910518,18.4,65,57.5,18.35
19910519,21.2,70.2,71.5,21.23
19910520,24.1,75.4,43.1,24.13
19910521,23.1,73.6,46.8,23.12
19910522,22.8,73,55.9,22.75
19910523,25.6,78,39,25.57
19910524,21.1,70,64.6,21.11
19910525,16.5,61.8,88.6,16.54
19910526,12.7,54.9,94.4,12.71
19910527,16.8,62.2,57,16.75
19910528,18.9,66,42.9,18.89
19910529,19.6,67.2,53.3,19.56
19910530,20.4,68.7,60.5,20.38
19910531,20.8,69.4,65.9,20.75
19910601,19.8,67.6,63.5,19.8
19910602,21.5,70.7,64.9,21.53
19910603,20.5,69,77.1,20.53
19910604,20.3,68.5,74.4,20.28
19910605,21.1,69.9,74.8,21.07
19910606,22.8,73,60.6,22.8
19910607,24.2,75.5,50.5,24.19
19910608,24.4,75.9,54.9,24.39
19910609,22,71.5,82,21.95
19910610,22.3,72.2,84.8,22.33
19910611,22.3,72.1,90.9,22.29
19910612,21.2,70.1,81.4,21.15
19910613,21.4,70.6,74.3,21.42
19910614,23.7,74.7,63,23.7
19910615,25.3,77.6,59.8,25.31
19910616,24.6,76.3,61.4,24.61
19910617,22.2,71.9,68.1,22.18
19910618,22.8,73,43.6,22.79
19910619,22.5,72.5,43.9,22.52
19910620,21.1,69.9,72.1,21.08
19910621,22,71.6,69.5,22.02
19910622,23.2,73.7,72.9,23.18
19910623,24.2,75.5,73.5,24.18
19910624,23.3,73.9,73.1,23.3
19910625,24.7,76.4,67,24.67
19910626,23.3,73.9,77.4,23.3
19910627,24,75.1,75.6,23.95
19910628,26,78.8,73.9,26.01
19910629,23.3,73.9,87.5,23.29
19910630,24,75.2,80.9,24.03
19910701,22.8,73,88.9,22.78
19910702,24.1,75.5,79.3,24.14
19910703,25.5,77.9,72.6,25.51
19910704,26.7,80,69.9,28.3
19910705,25.8,78.5,72.1,25.85
19910706,25.3,77.6,74.4,25.32
19910707,21.5,70.8,86,21.55
19910708,22.1,71.7,79.3,22.08
19910709,22,71.7,84.5,22.04
19910710,23.6,74.5,79.4,23.63
19910711,22.7,72.9,80.9,22.73
19910712,24.2,75.6,74.3,24.2
19910713,24.6,76.2,73.5,24.57
19910714,25.1,77.2,73.1,25.12
19910715,23,73.4,93.5,23
19910716,23.8,74.8,87.4,23.76
19910717,24.8,76.6,89.1,24.8
19910718,25.6,78.1,81.8,25.64
19910719,24.9,76.8,90.6,24.87
19910720,24.5,76.1,93,24.52
19910721,24.4,75.8,96.8,24.35
19910722,26,78.8,91,26
19910723,25,76.9,86.6,24.96
19910724,24.7,76.4,92.4,24.68
19910725,22.1,71.7,97.3,22.06
19910726,23.8,74.9,86,23.82
19910727,25.5,77.8,82.9,25.45
19910728,27.3,81.1,79.5,30.25
19910729,27.2,80.9,74.8,29.61
19910730,25.1,77.3,83.1,25.14
19910731,25.5,77.9,85.8,25.51
19910801,27,80.6,78.4,29.61
19910802,22.4,72.4,89.8,22.45
19910803,24.5,76,81.9,24.46
19910804,23.6,74.5,82.3,23.62
19910805,24.2,75.5,75.1,24.19
19910806,23.3,74,75.8,23.35
19910807,23.8,74.8,82.1,23.77
19910808,25.6,78.2,71.8,25.65
19910809,23.2,73.8,69.8,23.2
19910810,25.1,77.2,65.8,25.13
19910811,25.8,78.4,62.6,25.8
19910812,26.2,79.2,68,26.23
19910813,27.4,81.2,77,30.2
19910814,28.5,83.4,75.4,32.66
19910815,28.9,84.1,72.8,33.08
19910816,27.6,81.7,76.8,30.75
19910817,27.3,81.2,80.8,30.56
19910818,27.5,81.6,76.9,30.6
19910819,27.3,81.2,78,30.28
19910820,29.2,84.6,67.9,32.83
19910821,28,82.4,59.4,29.36
19910822,26.3,79.4,63.6,26.31
19910823,22.1,71.8,78.8,22.09
19910824,25.3,77.6,66.8,25.33
19910825,26.4,79.5,68.8,26.39
19910826,25.6,78.1,62.8,25.61
19910827,22.7,72.8,44.3,22.68
19910828,22.9,73.3,46.5,22.94
19910829,25.1,77.2,55.4,25.13
19910830,24.6,76.3,68.8,24.63
19910831,24.4,75.9,73.6,24.41
19910901,25.6,78,74.1,25.57
19910902,25.9,78.6,70.4,25.89
19910903,22.8,73,79.1,22.79
19910904,21.4,70.5,87.6,21.41
19910905,22.2,71.9,93.3,22.17
19910906,22.5,72.4,84.4,22.46
19910907,23.7,74.6,71.4,23.69
19910908,24.8,76.7,66.3,24.81
19910909,25,77.1,68.6,25.03
19910910,24.1,75.4,73.8,24.13
19910911,22.6,72.7,77,22.64
19910912,21.2,70.1,62.8,21.18
19910913,22,71.7,59.6,22.05
19910914,22.7,72.8,52.8,22.66
19910915,21.7,71.1,52.6,21.7
19910916,21.8,71.3,49.9,21.83
19910917,21.5,70.7,58,21.53
19910918,22.7,72.9,59,22.7
19910919,21.3,70.4,63.5,21.32
19910920,17.9,64.2,70.5,17.88
19910921,19.3,66.7,70,19.26
19910922,20.1,68.2,66,20.13
19910923,19.2,66.6,73.4,19.2
19910924,19.8,67.7,74.5,19.81
19910925,19.8,67.6,74.8,19.79
19910926,18.6,65.6,76.9,18.65
19910927,17.8,64,85.3,17.78
19910928,16.7,62,59.5,16.66
19910929,16.5,61.6,69.9,16.47
19910930,16,60.8,74.3,16
19920501,12.3,54.1,71.5,12.27
19920502,14.2,57.5,59,14.15
19920503,15,58.9,60.1,14.95
19920504,18.4,65.1,59.3,18.4
19920505,20.6,69,53.4,20.58
19920506,15.1,59.2,51.9,15.14
19920507,15.2,59.4,96.5,15.21
19920508,15.2,59.4,90.3,15.22
19920509,14.9,58.8,47.3,14.87
19920510,15.9,60.7,36.8,15.93
19920511,17.5,63.5,38.9,17.49
19920512,18.4,65.1,51.4,18.39
19920513,13.5,56.4,91.9,13.54
19920514,16.8,62.2,74.3,16.77
19920515,17.4,63.3,59.3,17.39
19920516,14.7,58.5,78.1,14.73
19920517,14.6,58.4,81.5,14.64
19920518,16,60.7,77.6,15.96
19920519,17.1,62.7,71.8,17.08
19920520,18.5,65.2,67.6,18.45
19920521,19.3,66.8,64.8,19.33
19920522,19.4,66.9,58,19.4
19920523,17.3,63.1,60.4,17.26
19920524,14.7,58.4,55.5,14.68
19920525,12,53.6,66.9,11.99
19920526,14,57.2,80.6,14.03
19920527,16.3,61.3,56,16.3
19920528,17.4,63.4,59.6,17.43
19920529,19.6,67.3,66.6,19.6
19920530,22.6,72.7,51.5,22.62
19920531,21.8,71.2,57.6,21.78
19920601,22.4,72.3,55.3,22.4
19920602,23,73.3,50.4,22.95
19920603,21.4,70.6,57.6,21.43
19920604,18.9,66,80.8,18.9
19920605,21.3,70.3,80.3,21.29
19920606,21,69.8,78.5,21.01
19920607,16.1,61,77.8,16.09
19920608,18.1,64.6,59.6,18.11
19920609,19.6,67.3,74.9,19.64
19920610,17.3,63.2,79,17.34
19920611,17.6,63.6,76.3,17.57
19920612,19,66.3,71.8,19.03
19920613,19.6,67.3,70.5,19.59
19920614,21.2,70.2,64.9,21.24
19920615,23.1,73.6,63.3,23.12
19920616,23.5,74.3,53.9,23.5
19920617,21.4,70.6,68.3,21.43
19920618,20.8,69.4,67.8,20.8
19920619,20.2,68.4,66.5,20.22
19920620,21.2,70.2,56.4,21.21
19920621,20.8,69.5,61.9,20.81
19920622,22.1,71.8,63,22.13
19920623,21.8,71.2,51,21.8
19920624,21.2,70.1,56.1,21.18
19920625,22.1,71.8,64.9,22.09
19920626,22.8,73,68.5,22.76
19920627,24,75.2,65.6,24
19920628,23.6,74.5,68,23.61
19920629,23.7,74.6,66.8,23.66
19920630,22.5,72.6,61.9,22.54
19920701,23.4,74.2,68,23.43
19920702,22.3,72.1,86.1,22.26
19920703,21.4,70.6,93.9,21.42
19920704,23.8,74.9,83.5,23.83
19920705,25.6,78,77.9,25.58
19920706,26.9,80.3,58.8,27.83
19920707,26.1,78.9,66.8,26.08
19920708,26.2,79.1,66.5,26.18
19920709,25.7,78.3,57,25.74
19920710,22.4,72.3,86,22.38
19920711,21.3,70.4,93,21.32
19920712,23.2,73.7,77.9,23.16
19920713,24.3,75.8,78.4,24.34
19920714,23.6,74.5,85,23.64
19920715,23.9,74.9,83.9,23.85
19920716,24.5,76.2,75.4,24.54
19920717,21.6,71,92.1,21.64
19920718,24.4,76,87.1,24.45
19920719,26.8,80.2,78.1,29.07
19920720,26.6,79.9,82.6,26.6
19920721,26.7,80,81,29.13
19920722,24.9,76.9,88.8,24.94
19920723,26.5,79.6,80.5,26.46
19920724,26.7,80.1,80,29.18
19920725,26.2,79.2,83.4,26.24
19920726,26.8,80.2,77,28.99
19920727,25.3,77.6,90.4,25.33
19920728,26.9,80.4,90.9,30.89
19920729,27.7,81.8,77.6,31.02
19920730,25.6,78.1,88.8,25.59
19920731,25.6,78,81.4,25.57
19920801,27.3,81.1,77.1,30.06
19920802,26.2,79.1,78.3,26.16
19920803,26.3,79.3,69.3,26.25
19920804,24.7,76.5,53.5,24.73
19920805,25,77,63,25
19920806,24.4,75.8,81.6,24.35
19920807,21.4,70.5,94.4,21.36
19920808,25,77,75.4,25.01
19920809,25.5,77.9,67,25.48
19920810,25.4,77.7,75.6,25.39
19920811,25.6,78.2,75.4,25.64
19920812,23.7,74.7,83.6,23.7
19920813,25.3,77.6,77,25.33
19920814,21.4,70.5,86.3,21.39
19920815,21,69.8,89.9,21.01
19920816,24.1,75.3,81.8,24.05
19920817,22,71.7,88.9,22.05
19920818,24.7,76.4,72.6,24.69
19920819,25.6,78,65,25.56
19920820,25.8,78.4,66.1,25.76
19920821,26,78.9,66,26.03
19920822,25.9,78.7,72.8,25.92
19920823,24.8,76.6,79.8,24.8
19920824,24.8,76.6,82.1,24.76
19920825,24.8,76.6,74,24.75
19920826,26.1,79,73,26.11
19920827,22.1,71.8,96.3,22.13
19920828,23.5,74.2,92.6,23.45
19920829,27.5,81.5,72.1,29.94
19920830,28.3,82.9,67.9,30.95
19920831,27.8,82,68.9,30.08
19920901,25.1,77.1,80.6,25.08
19920902,25.6,78,86.6,25.56
19920903,25,76.9,83.4,24.95
19920904,24.9,76.8,79.1,24.9
19920905,25.6,78.1,78.1,25.62
19920906,25.4,77.7,72.9,25.41
19920907,22.4,72.4,83.5,22.43
19920908,22.3,72.1,72.4,22.3
19920909,20.7,69.2,60.4,20.68
19920910,21.5,70.7,72,21.51
19920911,21.2,70.2,68.3,21.2
19920912,20.4,68.7,84,20.37
19920913,20.1,68.1,80.3,20.08
19920914,22.1,71.9,74.3,22.14
19920915,22,71.7,77.6,22.03
19920916,20.7,69.2,63.8,20.67
19920917,19.3,66.7,49.1,19.25
19920918,21.1,69.9,58,21.05
19920919,20.2,68.4,68.5,20.22
19920920,20.4,68.8,71.3,20.43
19920921,21.1,69.9,65.6,21.07
19920922,20.5,68.9,59.6,20.53
19920923,21,69.8,69.3,20.99
19920924,20.6,69.1,93,20.59
19920925,19,66.3,68.5,19.03
19920926,16.6,62,43,16.65
19920927,15.6,60.1,50.3,15.59
19920928,15.1,59.2,70.1,15.12
19920929,16.7,62.1,76.3,16.75
19920930,16.3,61.3,70,16.28
19930501,15.3,59.6,37,15.33
19930502,13.2,55.8,66.6,13.21
19930503,14.8,58.6,65.8,14.79
19930504,17.2,63,59.5,17.24
19930505,17.6,63.7,67.9,17.64
19930506,19.7,67.5,72.9,19.7
19930507,19.7,67.4,68,19.69
19930508,17.5,63.5,60.3,17.53
19930509,17,62.6,59.6,16.99
19930510,17.4,63.3,57.5,17.4
19930511,18.3,65,53.8,18.35
19930512,18.3,64.9,90.9,18.25
19930513,13.7,56.6,92.9,13.67
19930514,16.6,61.9,56.4,16.62
19930515,18.7,65.7,40.1,18.74
19930516,17.9,64.3,53,17.95
19930517,14.6,58.3,83.3,14.59
19930518,16.8,62.2,72.3,16.78
19930519,18.7,65.7,68.6,18.71
19930520,21.4,70.6,59.4,21.45
19930521,18.2,64.7,76.8,18.19
19930522,19.3,66.7,70.5,19.26
19930523,18.7,65.7,59.8,18.73
19930524,19.5,67.1,66,19.52
19930525,16,60.7,86.6,15.95
19930526,18.7,65.6,71,18.67
19930527,20.4,68.8,52.4,20.45
19930528,21.7,71,53,21.68
19930529,24.9,76.7,54.1,24.85
19930530,23.4,74.1,53,23.4
19930531,24.3,75.7,56.1,24.28
19930601,24.9,76.8,52.6,24.91
19930602,16.2,61.2,92.5,16.24
19930603,16.1,61,80.5,16.12
19930604,19.1,66.4,73.9,19.1
19930605,20.5,68.9,66.5,20.52
19930606,20.8,69.4,64,20.79
19930607,22.8,73.1,56.1,22.83
19930608,23.2,73.8,63.8,23.2
19930609,20.7,69.3,75.3,20.73
19930610,20,67.9,78,19.97
19930611,22.1,71.8,69.8,22.1
19930612,22,71.5,79.4,21.96
19930613,21.5,70.6,88.4,21.46
19930614,21.4,70.4,90.1,21.36
19930615,22.8,73.1,83,22.82
19930616,24.6,76.3,78.9,24.61
19930617,22.9,73.2,80.4,22.89
19930618,22.6,72.6,76.3,22.55
19930619,21.9,71.5,78.5,21.92
19930620,20.6,69.1,82.9,20.62
19930621,22.6,72.6,79.9,22.56
19930622,23,73.5,77.5,23.03
19930623,23.4,74.2,76.1,23.44
19930624,22.7,72.9,75,22.74
19930625,23.3,73.9,80.1,23.29
19930626,24.4,76,76.9,24.44
19930627,23.3,74,75.6,23.34
19930628,20.5,68.9,83.6,20.47
19930629,19.2,66.5,91.1,19.16
19930630,18,64.3,91.4,17.96
19930701,22.4,72.3,76.8,22.39
19930702,24.6,76.2,74.5,24.56
19930703,23.5,74.4,64.1,23.54
19930704,25.6,78.1,73.8,25.6
19930705,26.7,80.1,64.6,28.01
19930706,25,77,71.8,25.01
19930707,25.5,77.8,72.3,25.45
19930708,22.1,71.9,89.9,22.14
19930709,23.9,75.1,81.5,23.94
19930710,25.3,77.6,83,25.32
19930711,23.1,73.5,89.3,23.08
19930712,22.8,73.1,92.1,22.83
19930713,22.8,73,94.3,22.79
19930714,25.2,77.4,75.8,25.21
19930715,24.5,76.1,72.5,24.5
19930716,23.9,74.9,84.1,23.85
19930717,19,66.1,94.6,18.96
19930718,22.2,72,68,22.24
19930719,22.7,72.8,59.6,22.68
19930720,22.3,72.2,56.4,22.35
19930721,22.5,72.5,57.8,22.48
19930722,22.6,72.7,56.4,22.59
19930723,23.5,74.2,67.9,23.46
19930724,21.9,71.4,88.3,21.88
19930725,21.5,70.7,83.8,21.48
19930726,21.9,71.5,84.3,21.93
19930727,23.7,74.7,75.6,23.75
19930728,26,78.9,77.1,26.04
19930729,21.9,71.4,92.5,21.9
19930730,23.8,74.8,78,23.76
19930731,25.1,77.2,79.3,25.11
19930801,25.1,77.2,87.8,25.1
19930802,22.6,72.7,94.3,22.63
19930803,22.7,72.8,79,22.65
19930804,23.5,74.3,68.4,23.51
19930805,23.4,74,71.5,23.35
19930806,22.7,72.9,67.4,22.74
19930807,22.8,73.1,69.4,22.81
19930808,22.9,73.3,83.3,22.94
19930809,25.5,77.9,88.8,25.52
19930810,23.5,74.2,83.1,23.45
19930811,25,77,75.8,24.98
19930812,24.9,76.8,82.5,24.87
19930813,22.5,72.5,95.1,22.52
19930814,24.4,76,83.1,24.43
19930815,22.7,72.8,83.8,22.67
19930816,20.9,69.7,88,20.93
19930817,22.9,73.3,83,22.94
19930818,23.1,73.6,76.9,23.1
19930819,23.7,74.7,79.1,23.7
19930820,23,73.5,84,23.05
19930821,19.8,67.6,89.5,19.76
19930822,22.9,73.2,76.8,22.9
19930823,24.2,75.5,76.4,24.15
19930824,23.7,74.6,89.5,23.67
19930825,24.7,76.4,87.4,24.68
19930826,24.1,75.4,75.8,24.1
19930827,24.1,75.4,72.3,24.12
19930828,23.1,73.5,69.1,23.07
19930829,22.1,71.7,74,22.08
19930830,22.9,73.2,70.9,22.9
19930831,23.4,74.2,77.8,23.45
19930901,24.8,76.6,74.5,24.77
19930902,24,75.2,74,24.01
19930903,23.2,73.8,61.3,23.22
19930904,22.1,71.7,55,22.07
19930905,22.8,73,66.9,22.8
19930906,24.1,75.4,64.8,24.1
19930907,23.3,74,58.4,23.33
19930908,23.1,73.6,64,23.13
19930909,22.5,72.5,59.8,22.48
19930910,22.4,72.3,62.6,22.39
19930911,22.6,72.6,75.3,22.57
19930912,21.1,70,83.3,21.1
19930913,21.9,71.5,85.9,21.95
19930914,22.3,72.1,70,22.3
19930915,22.7,72.9,75.9,22.7
19930916,23.7,74.6,77,23.65
19930917,20.6,69,90.8,20.57
19930918,21.9,71.5,60.6,21.92
19930919,21.3,70.3,56.6,21.27
19930920,22.5,72.6,67.9,22.54
19930921,21.5,70.7,70.1,21.52
19930922,21.6,71,73.1,21.64
19930923,19.1,66.4,61.5,19.09
19930924,18.3,64.9,56,18.27
19930925,18.4,65.1,58.3,18.37
19930926,18.8,65.9,67.5,18.83
19930927,18.9,66.1,72.6,18.93
19930928,18.6,65.5,58.9,18.63
19930929,16.5,61.7,63.1,16.48
19930930,15.1,59.2,56.6,15.09
19940501,20.2,68.4,78.5,20.25
19940502,22.5,72.4,72.4,22.45
19940503,17.9,64.3,83,17.94
19940504,11.5,52.6,75.1,11.46
19940505,10.9,51.6,83.1,10.89
19940506,15.4,59.7,63,15.37
19940507,17.7,63.9,56.6,17.7
19940508,17.5,63.6,52,17.54
19940509,19.7,67.4,36.1,19.66
19940510,20,68,63.6,19.97
19940511,20.4,68.8,70.4,20.43
19940512,20.5,68.9,60.9,20.53
19940513,20.4,68.6,65.4,20.35
19940514,16.5,61.7,90.9,16.5
19940515,14.4,57.8,97.4,14.36
19940516,15.2,59.3,84.1,15.16
19940517,15.6,60.1,41.4,15.6
19940518,15.6,60,47.9,15.55
19940519,15.2,59.4,40,15.25
19940520,18,64.4,40.5,18.02
19940521,17.8,64.1,69.9,17.84
19940522,19.8,67.6,74.8,19.78
19940523,21.1,69.9,70.9,21.07
19940524,20.5,68.9,83.1,20.51
19940525,19.9,67.8,93.8,19.88
19940526,21.4,70.5,77,21.4
19940527,17.4,63.3,56.9,17.41
19940528,19,66.2,63.1,19
19940529,19.2,66.5,80.5,19.16
19940530,18.8,65.9,65.9,18.85
19940531,19.7,67.4,51.9,19.68
19940601,20.8,69.4,52.3,20.79
19940602,21.3,70.3,59.5,21.3
19940603,21.3,70.3,58.5,21.26
19940604,21.7,71,63.6,21.67
19940605,22.8,73,60.9,22.78
19940606,23.1,73.5,58.4,23.06
19940607,23,73.4,71.9,23
19940608,21.4,70.5,67.5,21.4
19940609,21.7,71.1,77.9,21.73
19940610,21.3,70.3,73.5,21.29
19940611,22.9,73.2,64.9,22.89
19940612,23.2,73.7,66.4,23.17
19940613,25.4,77.7,56.6,25.37
19940614,25.7,78.3,47.4,25.7
19940615,25.6,78,61.4,25.56
19940616,26.7,80,64.4,26.66
19940617,27.7,81.9,59.6,29.03
19940618,23.1,73.6,63.3,23.11
19940619,20.2,68.4,62.4,20.23
19940620,20.5,69,60.8,20.54
19940621,21.6,70.9,65.8,21.6
19940622,22.2,71.9,69.1,22.15
19940623,19.7,67.4,84.9,19.65
19940624,22.5,72.5,67.6,22.48
19940625,22.7,72.8,76.8,22.69
19940626,23.4,74.1,80.4,23.37
19940627,24.9,76.8,75.5,24.91
19940628,24.9,76.8,78.9,24.88
19940629,23.9,75,88.5,23.9
19940630,22.8,73.1,97.1,22.81
19940701,22.2,72,97.4,22.21
19940702,25.4,77.8,88,25.43
19940703,25.8,78.4,90.3,25.76
19940704,26.1,79,88.4,26.09
19940705,23.9,75.1,94.4,23.92
19940706,25.2,77.3,93.9,25.16
19940707,24.7,76.5,96.6,24.73
19940708,27,80.6,85.5,30.37
19940709,28.5,83.2,79.5,33.2
19940710,25.8,78.5,92.1,25.82
19940711,27.4,81.2,83.6,30.98
19940712,28.9,83.9,77.9,33.9
19940713,30.7,87.2,69,36.41
19940714,27.8,82,85.3,32.35
19940715,28.4,83.1,82,33.51
19940716,29,84.2,80.5,34.9
19940717,29.3,84.7,74,34.15
19940718,30.9,87.6,68.8,36.95
19940719,29.9,85.7,74,35.65
19940720,29.1,84.5,79.5,35.04
19940721,30.1,86.1,81.6,38.34
19940722,31.8,89.2,79.9,43.42
19940723,33,91.4,66.6,42.11
19940724,33.2,91.8,57.3,39.03
19940725,31.9,89.5,57.6,36.2
19940726,31.7,89.1,60.6,36.64
19940727,31.3,88.3,62.1,36.04
19940728,31.4,88.5,64.8,36.97
19940729,30.9,87.7,73.8,38.59
19940730,29.7,85.5,78.5,36.5
19940731,29.2,84.6,82.3,35.96
19940801,26.5,79.6,90.3,26.46
19940802,29,84.2,79.8,34.76
19940803,29,84.2,82.1,35.21
19940804,29.3,84.7,79.6,35.36
19940805,30.4,86.7,75.6,37.52
19940806,30.7,87.3,73,37.71
19940807,29.8,85.7,73.8,35.48
19940808,29.8,85.7,74.3,35.67
19940809,30.5,86.9,67.8,35.72
19940810,26.5,79.6,81.4,26.46
19940811,28,82.4,84,32.77
19940812,30.9,87.6,69.9,37.29
19940813,31.2,88.2,67.6,37.4
19940814,30.9,87.6,65.6,36.06
19940815,30.4,86.8,71,36.35
19940816,29,84.3,78.4,34.5
19940817,26.6,79.9,86.5,26.6
19940818,26.4,79.5,83,26.4
19940819,27.8,82.1,59.9,29.21
19940820,26.8,80.3,51.4,27.33
19940821,26,78.8,49.1,26.01
19940822,25.3,77.5,50.4,25.25
19940823,26.1,79,67.6,26.1
19940824,26.6,79.9,65.5,26.62
19940825,24.2,75.5,83.3,24.17
19940826,26.7,80.1,80.5,29.2
19940827,26.4,79.5,81.5,26.4
19940828,22.4,72.3,93.3,22.41
19940829,24.5,76.1,90.5,24.48
19940830,25.2,77.3,89,25.19
19940831,26.3,79.4,82.8,26.32
19940901,26.9,80.4,80.1,29.53
19940902,25.2,77.3,86.5,25.17
19940903,25.6,78.1,81.3,25.6
19940904,26.9,80.4,79.5,29.48
19940905,24.3,75.7,79.4,24.26
19940906,23.3,73.9,58,23.26
19940907,23.4,74.1,61.4,23.37
19940908,23.7,74.6,71.1,23.66
19940909,23.7,74.7,77.4,23.75
19940910,21.1,70,85.6,21.12
19940911,19.9,67.8,59.4,19.87
19940912,19.9,67.9,56.9,19.92
19940913,19.5,67.2,50.5,19.55
19940914,20.8,69.4,56.5,20.75
19940915,20.7,69.2,52.3,20.69
19940916,20.6,69,56.4,20.57
19940917,19.8,67.7,80.6,19.82
19940918,20.7,69.3,82.8,20.7
19940919,21.6,70.8,73.6,21.57
19940920,21.2,70.1,72.3,21.18
19940921,20.1,68.1,58.1,20.06
19940922,18.9,66,73.1,18.91
19940923,17.8,64,63.5,17.79
19940924,17.7,63.8,64.6,17.66
19940925,17.8,64.1,67.4,17.82
19940926,18.3,65,78,18.31
19940927,18.4,65.1,65.9,18.39
19940928,18.9,66.1,64.1,18.94
19940929,19,66.2,59,19
19940930,17.8,64.1,66.9,17.83
19950501,19.7,67.4,50.5,19.69
19950502,17.5,63.4,56.9,17.47
19950503,13,55.4,56.9,12.99
19950504,12.2,53.9,45.9,12.15
19950505,13.5,56.3,59.6,13.52
19950506,16.9,62.5,64.5,16.92
19950507,17,62.6,70.8,17.02
19950508,17.8,64.1,68.1,17.83
19950509,20.3,68.6,61.8,20.32
19950510,13.8,56.8,74.3,13.75
19950511,12.8,55.1,41.8,12.81
19950512,17,62.7,34.5,17.03
19950513,14.2,57.5,56.3,14.18
19950514,11.5,52.7,82.8,11.51
19950515,16.1,60.9,72.5,16.05
19950516,18.7,65.6,50.5,18.65
19950517,19.6,67.3,45.8,19.62
19950518,21.2,70.1,39.8,21.18
19950519,21.8,71.2,43.8,21.77
19950520,17.3,63.1,89.1,17.29
19950521,17.5,63.6,59.1,17.54
19950522,16.9,62.4,55.4,16.91
19950523,18.9,66.1,59.9,18.92
