일자,기온(°C),기온(°F),습도(%),열지수
19810513,13.8,56.9,57.4,13.82
19810514,15.7,60.3,53,15.73
19810515,18.6,65.4,53.5,18.56
19810516,12.1,53.8,82,12.13
19810517,10.9,51.5,64.9,10.86
19810518,10.3,50.5,70.4,10.3
19810519,12.9,55.2,79.8,12.87
19810520,13.5,56.3,78.4,13.5
19810521,16.3,61.3,67.9,16.3
19810522,18.1,64.5,70.8,18.08
19810523,19.6,67.3,74.3,19.62
19810524,20.2,68.4,67.5,20.21
19810525,19.2,66.6,67.6,19.2
19810526,22.1,71.7,53.8,22.05
19810527,21.1,70,69.1,21.13
19810528,16.9,62.4,83.3,16.9
19810529,19.5,67.1,64.4,19.53
19810530,18.1,64.6,65,18.11
19810531,16.2,61.2,73.3,16.21
19810601,15.7,60.3,58.4,15.7
19810602,18,64.4,58.5,17.99
19810603,19.1,66.3,69.6,19.05
19810604,19.2,66.5,58.8,19.17
19810605,19.9,67.7,62,19.85
19810606,20.7,69.3,60.3,20.7
19810607,21.7,71,52.9,21.65
19810608,22,71.6,46.9,22.01
19810609,21,69.8,54.9,20.98
19810610,18.5,65.3,79.4,18.49
19810611,20.2,68.3,76,20.16
19810612,22.2,71.9,67.5,22.18
19810613,22.7,72.9,65.8,22.7
19810614,22.6,72.7,58.5,22.62
19810615,23.2,73.8,66.8,23.25
19810616,24.1,75.3,58.6,24.06
19810617,24.6,76.3,57.6,24.59
19810618,24.6,76.3,67.9,24.63
19810619,23.6,74.6,78.3,23.65
19810620,24.4,75.9,77.4,24.37
19810621,24.1,75.4,85.3,24.09
19810622,23.2,73.7,78,23.19
19810623,22.6,72.6,53.1,22.56
19810624,21.7,71,58.3,21.69
19810625,22.2,71.9,72.9,22.15
19810626,22.3,72.2,72.1,22.35
19810627,21.9,71.5,85.5,21.93
19810628,23.8,74.9,82.1,23.82
19810629,24.2,75.6,76.8,24.24
19810630,26.1,78.9,73.1,26.08
19810701,22.9,73.2,91.8,22.86
19810702,22.9,73.2,91.9,22.86
19810703,21.8,71.3,89.4,21.82
19810704,22.7,72.9,87,22.74
19810705,23.1,73.6,90,23.09
19810706,22.6,72.8,90.6,22.65
19810707,22.8,73.1,82.1,22.81
19810708,24.4,75.9,81.5,24.4
19810709,22.7,72.9,84.4,22.73
