"관리기관별(1)","시점",원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명)
"관리기관별(1)","시점",합계,입산자실화,규반소각,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상
"부산광역시","2002",24,9,-,1,5,5,-,3,-,1,24,15.10,470,45494,-,-,-
"부산광역시","2003",5,4,-,1,-,-,-,-,-,-,5,0.54,5,870,-,-,-
"부산광역시","2004",23,11,-,-,2,9,-,-,-,1,23,8.59,302,19920,-,-,-
"부산광역시","2005",22,9,-,1,-,8,-,1,-,3,-,2.67,45,3089,-,-,-
"부산광역시","2006",17,5,-,-,4,2,-,2,-,4,-,3.29,529,6401,-,-,-
"부산광역시","2007",34,19,0,4,1,6,-,-,-,4,34,6.17,1009,9469,-,-,-
"부산광역시","2008",20,5,0,-,3,9,-,-,-,3,20,2.50,-,9268,-,-,-
"부산광역시","2009",30,15,0,4,3,1,-,1,-,6,30,14.32,5,53930,0,0,0
"부산광역시","2010",21,16,-,1,1,2,-,-,-,1,21,2.56,-,32049,-,-,-
"부산광역시","2011",9,3,-,3,-,-,-,1,-,2,9,90.98,-,1315845,-,-,-
"부산광역시","2012",4,2,-,-,-,-,-,1,-,1,4,0.74,20,24891,-,-,-
"부산광역시","2013",14,5,-,2,-,3,1,1,-,2,14,0.86,90,57477,-,-,-
"부산광역시","2014",9,4,-,-,2,-,-,-,-,3,9,2.48,300,278253,-,-,-
"부산광역시","2015",11,7,-,1,-,1,-,-,-,2,11,1.32,42,141906,-,-,-
"부산광역시","2016",8,2,-,1,-,2,-,-,-,3,8,1.14,125,467062,-,-,-
"부산광역시","2017",13,7,-,-,3,-,-,-,1,2,13,0.56,55,51661,-,-,-
"부산광역시","2018",15,5,-,-,1,1,-,-,-,8,15,65.93,8988,4123943,-,-,-
"부산광역시","2019",21,6,-,-,2,1,-,-,1,11,21,72.84,28,4621573,-,-,-
"부산광역시","2020",15,5,-,1,1,6,-,-,-,2,15,0.61,-,48725,-,-,-
"부산광역시","2021",6,2,-,-,-,1,-,-,-,3,6,0.66,-,34838,-,-,-
"부산광역시","2022",20,4,-,1,1,1,-,-,1,12,20,9.66,60,473246,-,-,-
"대구광역시","1995",25,14,-,1,-,-,4,2,-,4,25,34.59,1,4500,-,-,-
"대구광역시","1996",17,9,-,-,-,-,3,1,-,4,17,24.83,53,4616,-,-,-
"대구광역시","1997",29,22,0,1,-,2,4,-,-,-,29,51.14,468,5247,-,-,-
"대구광역시","1998",2,2,-,-,-,-,-,-,-,-,2,0.70,10,425,-,-,-
"대구광역시","1999",2,1,-,-,-,-,-,-,-,1,2,0.70,-,735,-,-,-
"대구광역시","2000",11,5,-,-,-,-,-,2,-,4,11,3.81,21,8566,-,-,-
"대구광역시","2001",6,4,-,1,-,-,-,-,-,1,6,3.14,17,8294,-,-,-
"대구광역시","2002",14,10,-,1,-,-,2,1,-,-,14,2.26,59,5020,-,-,-
"대구광역시","2003",10,5,-,2,1,-,1,-,-,1,10,1.32,45,3072,-,-,-
"대구광역시","2004",19,14,-,1,1,-,1,-,-,2,19,8.29,177,18859,-,-,-
"대구광역시","2005",20,18,-,2,-,-,-,-,-,-,-,4.69,103,5534,-,-,-
"대구광역시","2006",16,13,-,-,-,-,-,1,-,2,-,11.58,294,26631,-,-,-
"대구광역시","2007",15,9,0,-,-,4,-,-,-,2,15,3.44,161,13200,-,-,-
"대구광역시","2008",5,2,0,-,1,-,-,-,-,2,5,1.45,140,5400,-,-,-
"대구광역시","2009",13,6,0,-,1,1,1,-,-,4,13,5.12,288,11220,0,0,0
"대구광역시","2010",2,1,-,-,-,-,-,1,-,-,2,0.25,2,500,-,-,-
"대구광역시","2011",1,1,-,-,-,-,-,-,-,-,1,0.50,46,15377,-,-,-
"대구광역시","2012",1,1,-,-,-,-,-,-,-,-,1,0.10,6,15261,-,-,-
"대구광역시","2013",2,2,-,-,-,-,-,-,-,-,2,0.08,9,13677,-,-,-
"대구광역시","2014",13,7,-,1,-,-,-,-,-,5,13,0.62,11,77025,1,-,1
"대구광역시","2015",11,5,-,1,4,-,-,-,-,1,11,0.56,10,95279,-,-,-
"대구광역시","2016",6,3,-,1,-,-,-,-,1,1,6,0.30,15,58397,-,-,-
"대구광역시","2017",13,3,-,1,2,-,-,-,-,7,13,0.98,102,144918,-,-,-
"대구광역시","2018",5,3,-,1,-,-,-,-,1,-,5,0.61,12,144850,-,-,-
"대구광역시","2019",6,5,-,-,1,-,-,-,-,-,6,3.27,138,107438,-,-,-
"대구광역시","2020",16,15,-,-,-,-,-,-,-,1,16,0.50,-,25962,-,-,-
"대구광역시","2021",8,4,-,-,-,-,-,-,1,3,8,0.53,-,26375,-,-,-
"대구광역시","2022",24,16,-,1,1,1,-,-,-,5,24,136.72,-,8055316,-,-,-
"인천광역시","1995",14,2,-,1,-,-,-,4,-,7,14,5.18,-,6230,-,-,-
"인천광역시","1996",19,8,-,-,-,-,1,6,-,4,19,38.06,-,17176,-,-,-
"인천광역시","1997",16,9,0,2,3,-,-,1,-,1,16,30.92,174,7935,-,-,-
"인천광역시","1998",6,2,-,-,1,1,-,1,-,1,6,3.73,-,2563,-,-,-
"인천광역시","1999",7,6,-,-,-,-,-,-,-,1,7,7.52,-,9440,-,-,-
"인천광역시","2000",18,11,-,-,1,4,1,-,-,1,18,16.83,-,47589,-,-,-
"인천광역시","2001",35,17,-,5,2,7,-,1,-,3,35,11.20,3,32473,-,-,-
"인천광역시","2002",26,10,-,3,1,6,3,2,-,1,26,6.82,10,18307,-,-,-
"인천광역시","2003",17,7,-,2,-,5,2,1,-,-,17,9.22,104,20611,-,-,-
"인천광역시","2004",13,6,-,1,2,3,1,-,-,-,13,2.36,1,5221,-,-,-
"인천광역시","2005",13,6,-,1,-,3,-,1,-,2,-,4.15,-,1325,-,-,-
"인천광역시","2006",24,9,-,-,-,6,-,1,-,8,-,3.09,-,2179,-,-,-
"인천광역시","2007",34,13,0,5,-,6,1,7,-,2,34,6.12,-,1100,-,-,-
"인천광역시","2008",10,2,0,-,1,3,1,2,-,1,10,12.39,-,31244,-,-,-
"인천광역시","2009",19,4,0,4,1,2,2,2,-,4,19,3.38,-,-,0,0,0
"인천광역시","2010",10,2,-,2,1,1,-,-,-,4,10,47.57,-,147545,-,-,-
"인천광역시","2011",3,1,-,1,1,-,-,-,-,-,3,0.40,-,9055,-,-,-
"인천광역시","2012",1,1,-,-,-,-,-,-,-,-,1,1.30,-,11860,-,-,-
"인천광역시","2013",4,-,-,1,-,1,-,-,-,2,4,0.24,28,12553,-,-,-
"인천광역시","2014",20,12,-,2,-,2,-,1,1,2,20,3.12,-,161734,2,2,-
"인천광역시","2015",43,9,-,12,6,3,1,1,-,11,43,5.85,2,249264,-,-,-
"인천광역시","2016",23,11,-,4,2,1,-,-,-,5,23,10.58,-,581218,-,-,-
