"관리기관별(1)","시점",원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명)
"관리기관별(1)","시점",합계,입산자실화,규반소각,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상
"강원도","2015",96,43,-,11,9,5,2,2,5,19,96,196.03,16770,6823805,-,-,-
"강원도","2016",81,23,-,10,18,5,-,-,4,21,81,48.54,3425,1377040,-,-,-
"강원도","2017",81,39,-,9,11,4,-,-,6,12,81,1192.29,199147,63901080,6,1,5
"강원도","2018",33,11,-,2,2,-,1,-,8,9,33,656.95,78676,36003655,15,-,15
"강원도","2019",67,20,-,4,11,6,2,-,5,19,67,2990.32,488995,253970968,4,3,1
"강원도","2020",52,14,-,2,5,4,-,-,5,22,52,196.64,7056,7835367,2,-,2
"강원도","2021",34,8,-,2,3,-,-,2,1,18,34,57.11,1368,3049335,-,-,-
"강원도","2022",70,2,-,1,6,-,1,-,6,54,70,5262.54,113658,258855927,-,-,-
"충청북도","1995",32,7,-,14,-,-,2,-,-,9,32,37.20,105,6375,3,2,1
"충청북도","1996",18,7,-,3,-,-,1,-,-,7,18,34.50,62,5080,-,-,-
"충청북도","1997",37,13,0,9,4,3,4,-,-,4,37,88.80,842,46757,1,-,1
"충청북도","1998",19,4,-,4,1,2,4,1,-,3,19,18.53,71,29595,2,2,-
"충청북도","1999",24,6,-,9,1,4,2,-,-,2,24,49.72,1402,58840,1,1,-
"충청북도","2000",58,22,-,17,9,1,5,1,-,3,58,104.52,3252,297888,1,-,1
"충청북도","2001",55,19,-,20,2,3,6,1,-,4,55,95.11,1440,208724,4,3,1
"충청북도","2002",43,9,-,19,4,3,5,1,-,2,43,77.86,3136,199809,5,5,-
"충청북도","2003",20,7,-,8,1,3,1,-,-,-,20,11.74,110,28092,1,1,-
"충청북도","2004",21,16,-,1,-,2,-,1,-,1,21,26.35,355,46429,-,-,-
"충청북도","2005",31,14,-,5,1,5,1,1,-,4,-,34.06,726,16078,-,-,-
"충청북도","2006",23,11,-,4,1,2,1,1,-,3,-,16.39,1014,12627,-,-,-
"충청북도","2007",24,5,0,8,4,2,3,-,-,2,24,7.56,126,14937,1,1,-
"충청북도","2008",21,4,0,4,3,2,5,1,-,2,21,30.49,654,53032,-,-,-
"충청북도","2009",36,8,0,9,6,1,3,1,-,8,36,22.05,972,51924,2,1,1
"충청북도","2010",32,8,-,9,8,2,2,-,-,3,32,4.54,86,44359,1,1,-
"충청북도","2011",22,6,-,6,6,2,1,-,-,1,22,9.00,189,219225,-,-,-
"충청북도","2012",13,4,-,5,1,-,1,-,1,1,13,2.95,207,100540,1,1,-
"충청북도","2013",11,1,-,4,5,1,-,-,-,-,11,4.15,148,164886,1,-,1
"충청북도","2014",13,8,-,1,2,2,-,-,-,0,13,1.25,-,85611,-,-,-
"충청북도","2015",27,12,-,5,5,2,-,-,-,3,27,6.60,113,389938,1,1,-
"충청북도","2016",17,2,-,2,8,-,1,-,-,4,17,11.06,-,647980,1,1,-
"충청북도","2017",44,21,-,6,5,-,4,-,5,3,44,4.34,61,211575,4,1,3
"충청북도","2018",33,12,-,7,2,-,2,-,-,10,33,1.12,65,155600,2,-,2
"충청북도","2019",25,2,-,7,5,-,1,-,2,8,25,4.05,-,121306,-,-,-
"충청북도","2020",9,3,-,-,2,-,1,-,2,1,9,1.17,-,57793,-,-,-
"충청북도","2021",8,4,-,-,-,1,-,-,-,3,8,76.26,40,2067693,1,-,1
"충청북도","2022",22,14,-,-,-,-,1,-,1,6,22,13.25,-,617245,-,-,-
"충청남도","1995",30,16,-,8,-,-,2,1,-,3,30,53.36,155,11676,3,3,-
"충청남도","1996",43,17,-,11,-,-,4,3,-,8,43,78.44,265,17140,3,3,-
"충청남도","1997",46,20,0,15,4,-,2,1,-,4,46,92.87,844,64105,1,1,-
"충청남도","1998",36,9,-,15,4,1,1,1,-,5,36,47.94,900,142882,2,2,-
"충청남도","1999",20,8,-,8,1,1,2,-,-,-,20,26.42,913,48966,1,1,-
"충청남도","2000",79,18,-,26,10,7,12,1,-,5,79,274.43,5276,645086,5,5,-
"충청남도","2001",45,9,-,13,9,5,3,-,-,6,45,38.14,1249,98855,-,-,-
"충청남도","2002",44,8,-,12,7,-,11,1,-,5,44,2215.59,107113,6143435,1,1,-
"충청남도","2003",8,4,-,-,2,1,-,-,-,1,8,4.40,101,12320,-,-,-
"충청남도","2004",12,2,-,6,-,1,3,-,-,-,12,3.80,174,10480,-,-,-
"충청남도","2005",26,7,-,6,2,2,5,-,-,4,-,26.93,596,81629,3,3,-
"충청남도","2006",28,11,-,6,6,1,3,1,-,-,-,22.06,667,37659,1,1,-
"충청남도","2007",13,5,0,7,-,-,-,-,-,1,13,9.05,445,25248,1,1,-
"충청남도","2008",7,3,0,2,1,-,-,-,-,1,7,2.80,85,5839,2,2,-
"충청남도","2009",13,8,0,3,1,-,-,-,-,1,13,3.81,231,9494,0,0,0
"충청남도","2010",7,6,-,1,-,-,-,-,-,-,7,0.69,21,4904,-,-,-
"충청남도","2011",14,3,-,4,-,-,2,1,-,4,14,11.83,719,479697,-,-,-
"충청남도","2012",15,6,-,2,1,-,1,-,-,5,15,10.32,221,398563,-,-,-
"충청남도","2013",16,3,-,5,4,-,1,-,-,3,16,16.49,1034,598898,1,1,-
"충청남도","2014",21,4,-,6,5,3,-,-,1,2,21,4.65,172,281185,-,-,-
"충청남도","2015",21,9,-,5,2,1,1,-,-,3,21,3.12,66,222003,1,1,-
"충청남도","2016",13,4,-,1,2,1,2,-,1,2,13,1.31,-,94258,-,-,-
"충청남도","2017",46,24,-,2,-,2,2,-,8,8,46,2.82,166,386051,-,-,-
"충청남도","2018",27,11,-,3,5,1,2,-,1,4,27,2.44,43,177788,2,1,1
"충청남도","2019",36,21,-,3,2,-,3,-,4,3,36,3.55,50,117700,2,2,-
"충청남도","2020",34,21,-,-,4,3,-,-,4,2,34,3.97,-,211092,1,-,1
"충청남도","2021",22,14,-,-,1,2,2,-,-,3,22,40.45,21,2005084,2,2,-
"충청남도","2022",63,36,-,3,3,2,-,-,3,16,63,187.92,101,9322759,-,-,-
"전라북도","1995",42,9,-,18,-,-,5,-,-,10,42,73.82,324,15208,5,5,-
"전라북도","1996",48,15,-,9,-,-,3,5,-,16,48,94.65,-,22786,4,3,1
"전라북도","1997",36,21,0,8,1,-,3,1,-,2,36,68.64,3846,41573,4,4,-
"전라북도","1998",17,6,-,9,-,-,1,-,-,1,17,18.43,57,5515,4,3,1
"전라북도","1999",26,16,-,7,-,1,2,-,-,-,26,33.17,286,18819,-,-,-
"전라북도","2000",53,21,-,14,8,2,6,1,-,1,53,53.71,1037,136368,1,1,-
"전라북도","2001",57,26,-,14,1,5,8,-,-,3,57,56.92,1757,150359,1,1,-
"전라북도","2002",48,18,-,11,5,2,9,2,-,1,48,503.77,20232,1374023,6,1,5
"전라북도","2003",12,2,-,4,1,1,4,-,-,-,12,6.20,114,21647,1,1,-
"전라북도","2004",22,12,-,3,2,2,1,-,-,2,22,10.65,216,26061,1,1,-
"전라북도","2005",48,21,-,13,6,6,2,-,-,-,-,124.13,390,226259,2,2,-
"전라북도","2006",14,4,-,2,4,-,1,-,-,3,-,13.40,331,20820,-,-,-
"전라북도","2007",24,7,0,10,2,1,1,-,-,3,24,17.03,597,28871,2,2,-
"전라북도","2008",35,19,0,6,5,-,1,-,-,4,35,16.55,644,18798,2,2,-
"전라북도","2009",48,27,0,7,8,-,2,-,-,4,48,85.65,7477,86327,0,0,0
"전라북도","2010",6,5,-,-,1,-,-,-,-,-,6,1.03,13,3700,-,-,-
"전라북도","2011",9,3,-,3,2,-,-,-,-,1,9,3.38,215,208463,-,-,-
"전라북도","2012",11,7,-,1,-,-,-,-,-,3,11,2.02,80,91028,-,-,-
"전라북도","2013",29,7,-,10,4,1,1,-,2,4,29,12.47,1016,565122,-,-,-
"전라북도","2014",28,12,-,9,3,-,1,-,-,3,28,5.62,65,323184,-,-,-
"전라북도","2015",20,5,-,-,5,1,1,-,-,8,20,3.11,46,234254,-,-,-
"전라북도","2016",13,1,-,3,1,2,3,-,1,2,13,1.27,-,94340,-,-,-
"전라북도","2017",23,14,-,3,1,-,4,-,-,1,23,2.40,95,226760,-,-,-
"전라북도","2018",28,12,-,4,3,1,5,-,-,3,28,4.39,110,239122,-,-,-
"전라북도","2019",21,10,-,3,4,-,2,-,1,1,21,1.93,30,73283,-,-,-
"전라북도","2020",23,15,-,3,1,2,-,-,1,1,23,2.95,-,166241,-,-,-
"전라북도","2021",22,12,-,4,1,-,4,-,-,1,22,15.66,413,839227,1,1,-
"전라북도","2022",50,26,-,8,1,4,2,-,-,9,50,36.58,511,2108660,2,1,1
"전라남도","1995",40,13,-,12,-,-,5,2,-,8,40,104.30,885,8863,3,3,-
"전라남도","1996",69,19,-,16,-,-,6,3,-,25,69,239.30,1306,48861,2,2,-
"전라남도","1997",59,15,0,16,1,6,8,1,-,12,59,207.40,1245,36983,6,3,3
"전라남도","1998",29,9,-,4,7,1,2,1,-,5,29,64.60,739,83361,1,1,-
"전라남도","1999",26,9,-,5,3,1,4,1,-,3,26,46.40,109,21155,1,1,-
"전라남도","2000",51,30,-,7,3,4,3,-,-,4,51,97.84,639,191054,1,1,-
"전라남도","2001",55,27,-,13,1,4,6,1,-,3,55,73.94,996,122423,1,1,-
"전라남도","2002",55,13,-,20,4,2,6,-,-,10,55,227.56,7098,462539,1,-,1
"전라남도","2003",32,6,-,8,3,2,6,1,-,6,32,17.77,325,25571,2,2,-
"전라남도","2004",82,26,-,29,5,7,4,1,-,10,82,51.77,1040,102191,3,2,1
"전라남도","2005",66,23,-,20,8,4,6,1,-,4,-,44.48,483,51814,1,1,-
"전라남도","2006",66,22,-,23,8,3,4,-,-,6,-,71.77,1878,123800,-,-,-
"전라남도","2007",59,19,0,19,4,4,10,-,-,3,59,52.40,1418,50204,3,3,-
"전라남도","2008",47,17,0,11,6,6,1,-,-,6,47,30.31,953,65014,-,-,-
"전라남도","2009",46,18,0,18,6,-,2,-,-,2,46,159.32,22052,167154,1,0,1
"전라남도","2010",15,7,-,3,2,-,2,-,-,1,15,7.00,140,47914,-,-,-
"전라남도","2011",37,18,-,15,2,-,-,-,1,1,37,37.55,2529,1103292,-,-,-
"전라남도","2012",19,7,-,6,1,1,3,-,-,1,19,8.85,249,240100,-,-,-
"전라남도","2013",53,13,-,24,6,2,2,-,-,6,53,34.51,2588,1146060,-,-,-
"전라남도","2014",72,18,-,28,16,6,-,-,-,4,72,25.99,1512,934624,2,2,-
"전라남도","2015",51,15,-,12,10,-,3,-,-,11,51,12.70,2378,551011,-,-,-
"전라남도","2016",23,4,-,5,4,1,2,-,2,5,23,1.70,117,289151,1,1,-
"전라남도","2017",31,8,-,6,7,-,1,-,1,8,31,3.98,303,272810,3,3,-
"전라남도","2018",38,9,-,5,5,-,6,-,1,12,38,6.25,262,377747,-,-,-
"전라남도","2019",37,6,-,8,8,-,3,-,1,11,37,12.97,2656,608505,-,-,-
"전라남도","2020",36,7,-,9,5,3,1,-,1,10,36,8.19,65,612221,-,-,-
"전라남도","2021",32,22,-,-,4,2,2,1,-,1,32,18.04,250,1163768,-,-,-
"전라남도","2022",55,25,-,2,6,9,3,-,2,8,55,62.56,1436,3807325,-,-,-
"경상북도","1995",97,62,-,23,-,-,2,-,-,10,97,159.45,157,15305,5,5,-
"경상북도","1996",69,29,-,18,-,-,6,-,-,16,69,148.05,438,15845,4,4,-
"경상북도","1997",69,30,0,22,4,4,3,1,-,5,69,350.60,3288,87179,3,3,-
"경상북도","1998",25,10,-,9,2,-,1,2,-,1,25,46.20,631,97543,1,1,-
"경상북도","1999",20,14,-,4,-,-,-,-,-,2,20,26.22,2043,24445,1,1,-
"경상북도","2000",102,52,-,23,4,4,3,-,-,16,102,418.02,3577,1023397,-,-,-
"경상북도","2001",119,54,-,28,7,7,7,1,-,15,119,176.64,5054,610767,3,2,1
"경상북도","2002",82,34,-,17,7,4,5,-,-,15,82,55.11,1709,130269,1,1,-
"경상북도","2003",39,15,-,7,4,4,4,-,-,5,39,13.68,448,30346,1,1,-
"경상북도","2004",104,44,-,23,11,2,6,1,-,17,104,403.26,8286,1238998,4,4,-
"경상북도","2005",80,41,-,12,9,4,3,-,-,11,-,70.29,3805,340428,3,3,-
"경상북도","2006",44,32,-,6,4,-,-,-,-,2,-,44.70,1769,88650,1,1,-
"경상북도","2007",60,33,0,11,4,5,1,-,-,6,60,62.82,713,64642,-,-,-
"경상북도","2008",77,30,0,14,6,7,11,-,-,9,77,51.77,1012,142487,1,1,-
"경상북도","2009",143,40,0,32,18,15,12,-,-,26,143,747.43,45240,2452429,4,4,0
"경상북도","2010",45,20,-,7,5,2,3,-,6,2,45,113.97,8081,1767484,-,-,-
"경상북도","2011",45,10,-,11,11,1,3,-,5,4,45,742.88,38936,19089525,2,2,-
"경상북도","2012",14,3,-,2,1,4,1,-,1,2,14,2.75,103,129382,1,-,1
"경상북도","2013",42,17,-,5,5,6,1,1,2,5,42,103.52,10573,8553602,30,1,29
"경상북도","2014",93,33,-,26,17,2,5,-,2,8,93,46.54,2401,4116081,4,2,2
"경상북도","2015",80,21,-,19,8,-,3,-,-,29,80,32.96,3287,2881138,1,1,-
"경상북도","2016",41,6,-,17,6,-,3,-,1,8,41,169.37,1540,7029519,3,1,2
"경상북도","2017",103,30,-,19,13,2,4,-,6,29,103,148.39,18815,7458662,4,2,2
"경상북도","2018",96,23,-,20,13,3,3,-,5,29,96,93.47,8076,4269956,1,-,1
"경상북도","2019",113,32,-,15,16,5,7,-,10,28,113,88.24,8805,6736485,4,-,4
"경상북도","2020",98,20,-,10,11,5,1,-,9,42,98,1999.52,424376,110402958,-,-,-
"경상북도","2021",55,14,-,3,5,1,2,-,4,26,55,444.97,2456,20821405,4,3,1
"경상북도","2022",111,36,-,10,8,8,-,-,9,40,111,17402.93,2658507,981960340,5,-,5
"경상남도","1995",104,58,-,17,-,-,3,1,-,25,104,211.23,2270,57774,3,3,-
"경상남도","1996",70,45,-,10,-,-,3,-,-,12,70,423.30,-,38199,2,2,-
"경상남도","1997",29,17,0,1,2,1,-,-,-,8,29,173.76,1963,96222,5,4,1
"경상남도","1998",8,5,-,1,-,-,2,-,-,-,8,55.65,1518,140502,-,-,-
"경상남도","1999",12,9,-,-,-,-,1,-,-,2,12,9.75,71,17944,-,-,-
"경상남도","2000",30,23,-,4,-,-,-,1,-,2,30,53.83,788,102923,-,-,-
"경상남도","2001",42,26,-,5,3,1,2,-,-,5,42,33.49,643,80424,2,2,-
"경상남도","2002",32,8,-,10,5,3,4,-,-,2,32,15.26,366,38001,1,1,-
"경상남도","2003",23,11,-,3,4,1,1,-,-,3,23,10.83,215,26733,2,2,-
"경상남도","2004",48,25,-,9,5,2,2,-,-,5,48,99.49,6160,922555,2,2,-
"경상남도","2005",42,11,-,14,3,5,4,-,-,5,-,201.56,3228,718568,-,-,-
"경상남도","2006",38,12,-,12,1,2,1,2,-,8,-,14.11,531,39245,1,-,1
"경상남도","2007",34,18,0,5,-,1,6,-,-,4,34,12.94,646,35713,-,-,-
"경상남도","2008",55,13,0,15,5,9,4,-,-,9,55,25.04,558,59994,-,-,-
"경상남도","2009",68,30,0,7,8,6,6,-,-,11,68,207.22,12130,682019,2,0,2
"경상남도","2010",57,23,-,11,5,2,5,-,4,7,57,8.89,175,254317,-,-,-
"경상남도","2011",53,27,-,13,5,4,2,-,-,2,53,57.98,2448,2694910,-,-,-
"경상남도","2012",23,11,-,-,3,1,-,1,1,6,23,7.38,383,227796,-,-,-
"경상남도","2013",33,11,-,9,2,3,1,-,1,6,33,26.27,2855,1019791,1,1,-
"경상남도","2014",31,7,-,5,5,2,-,-,1,11,31,6.23,1242,429290,-,-,-
"경상남도","2015",22,7,-,3,1,2,1,-,2,6,22,8.67,250,436383,1,-,1
"경상남도","2016",10,1,-,3,2,1,-,-,-,3,10,1.62,708,121077,-,-,-
"경상남도","2017",59,22,-,7,13,3,2,-,2,10,59,9.57,1387,982249,-,-,-
"경상남도","2018",66,34,-,7,2,3,2,1,16,1,66,7.93,683,791528,-,-,-
"경상남도","2019",65,14,-,3,7,1,-,-,10,30,65,7.10,612,263153,4,2,2
"경상남도","2020",41,18,-,5,2,5,1,-,4,6,41,25.69,465,1560039,-,-,-
"경상남도","2021",36,8,-,5,2,9,-,-,5,7,36,56.09,555,3137646,1,-,1
"경상남도","2022",98,36,-,9,9,5,2,-,18,19,98,1542.85,148046,70993517,-,-,-
"제주도","1995",2,-,-,-,-,-,-,1,-,1,2,4.10,-,16781,-,-,-
"제주도","1996",3,-,-,-,-,-,-,-,-,3,3,9.50,-,16960,-,-,-
"제주도","1997",7,-,0,2,1,2,-,-,-,2,7,8.80,26,3870,-,-,-
"제주도","1998",4,-,-,1,1,-,1,-,-,1,4,5.40,288,10560,-,-,-
"제주도","1999",3,-,-,1,-,1,1,-,-,-,3,4.00,18,3700,-,-,-
"제주도","2000",5,1,-,1,-,2,-,-,-,1,5,1.56,9,1681,1,1,-
"제주도","2001",2,-,-,1,-,-,-,-,-,1,2,0.80,-,30,-,-,-
"제주도","2004",1,-,-,-,1,-,-,-,-,-,1,1.00,-,2500,-,-,-
"제주도","2005",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제주도","2007",1,-,0,-,1,-,-,-,-,-,1,1.00,-,200,-,-,-
"제주도","2008",1,-,0,-,1,-,-,-,-,-,1,2.00,-,800,-,-,-
"제주도","2009",-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0
"제주도","2012",1,-,-,-,-,1,-,-,-,-,1,0.50,-,23022,-,-,-
"제주도","2013",2,-,-,-,1,-,-,-,-,1,2,1.50,187,59103,-,-,-
"제주도","2020",2,1,-,-,-,-,-,-,-,1,2,1.88,-,87423,-,-,-
"제주도","2022",1,-,-,-,-,1,-,-,-,-,1,0.20,8,9732,-,-,-
"북부","1995",12,4,-,5,-,-,-,-,-,3,12,22.85,10,78097,-,-,-
"북부","1996",12,6,-,1,-,-,-,-,-,5,12,23.95,203,45408,-,-,-
"북부","1997",18,14,-,-,3,-,-,-,-,1,18,16.43,29,2777,-,-,-
"북부","1998",13,7,-,2,-,2,-,1,-,1,13,10.19,276,53560,-,-,-
"북부","1999",22,12,-,1,-,4,1,1,-,3,22,85.84,33,184694,-,-,-
"북부","2000",21,8,-,-,1,3,-,1,-,8,21,23.85,236,114406,-,-,-
"북부","2001",25,13,-,3,2,3,-,1,-,3,25,8.36,94,3255,-,-,-
"북부","2002",16,9,-,-,-,2,-,-,-,5,16,51.96,75,179968,-,-,-
"북부","2003",3,1,-,2,-,-,-,-,-,-,3,2.90,200,4620,-,-,-
"북부","2004",12,7,-,1,-,1,-,-,-,3,12,4.65,-,365,-,-,-
"북부","2005",21,16,-,1,-,2,-,-,-,2,-,4.03,29,629,1,1,-
"북부","2006",13,6,-,-,-,-,-,-,-,7,-,6.50,-,-,-,-,-
"북부","2007",10,5,0,3,2,-,-,-,-,-,10,3.59,23,2278,-,-,-
"북부","2008",10,5,0,1,1,3,-,-,-,-,10,1.99,-,-,-,-,-
"북부","2009",10,3,0,-,2,1,-,1,-,3,10,2.78,8,186,0,0,0
"북부","2010",10,8,-,-,-,1,-,-,-,1,10,1.43,-,72594,-,-,-
"북부","2011",6,4,-,-,-,1,-,-,-,1,6,0.87,-,18766,-,-,-
"북부","2012",15,9,-,-,-,-,-,-,-,6,15,12.82,465,292163,-,-,-
"북부","2013",2,-,-,-,-,1,-,-,-,1,2,0.25,31,24447,-,-,-
"북부","2014",25,15,-,1,1,3,-,-,-,5,25,6.38,-,564308,-,-,-
"북부","2015",29,12,-,1,2,1,-,-,1,12,29,28.45,1979,1698796,-,-,-
"북부","2016",13,9,-,-,-,-,-,-,1,3,13,10.06,-,570317,-,-,-
"북부","2017",32,10,-,1,5,3,-,-,2,11,32,13.48,28,833032,-,-,-
"북부","2018",19,11,-,-,3,-,-,-,1,4,19,4.44,72,271875,2,-,2
"북부","2019",14,8,-,-,3,-,-,-,1,2,14,9.23,70,277633,-,-,-
"북부","2020",24,21,-,-,1,-,-,-,1,1,24,25.81,-,1266856,-,-,-
"북부","2021",17,10,-,-,1,-,-,-,1,5,17,8.26,-,391462,1,-,1
"북부","2022",15,10,-,-,1,1,-,-,-,3,15,10.61,57,514168,-,-,-
"동부","1995",17,9,-,3,-,-,-,1,-,4,17,31.97,7,15304,-,-,-
"동부","1996",4,3,-,-,-,-,-,-,-,1,4,643.00,-,4733839,-,-,-
"동부","1997",12,6,-,-,-,2,-,-,-,4,12,28.39,175,38952,-,-,-
"동부","1998",2,1,-,-,-,-,-,-,-,1,2,11.70,20,49400,-,-,-
"동부","1999",7,4,-,1,-,-,1,-,-,1,7,2.30,74,9704,-,-,-
"동부","2000",10,7,-,-,-,1,-,1,-,1,10,9.30,208,9431,-,-,-
"동부","2001",15,8,-,-,-,1,-,-,-,6,15,16.07,244,29065,-,-,-
"동부","2002",8,4,-,-,-,2,-,-,-,2,8,2.32,335,5309,-,-,-
"동부","2003",4,-,-,2,-,2,-,-,-,-,4,1.32,-,2662,1,1,-
"동부","2004",11,9,-,-,-,-,-,-,-,2,11,103.67,2267,158851,-,-,-
"동부","2005",5,4,-,-,-,1,-,-,-,-,-,77.43,147,8759,-,-,-
"동부","2006",4,3,-,-,-,1,-,-,-,-,-,1.45,-,10,-,-,-
"동부","2007",3,2,0,-,-,-,-,-,-,1,3,6.01,-,27628,-,-,-
"동부","2008",3,3,0,-,-,-,-,-,-,-,3,5.21,-,-,-,-,-
"동부","2009",8,2,0,1,-,-,1,-,-,4,8,3.50,102,2612,0,0,0
"동부","2010",1,1,-,-,-,-,-,-,-,-,1,0.50,-,22024,-,-,-
"동부","2011",1,-,-,-,-,-,-,-,-,1,1,0.32,40,58344,-,-,-
"동부","2012",3,1,-,-,-,-,-,-,-,2,3,0.16,-,11569,-,-,-
"동부","2013",2,-,-,-,-,-,-,-,-,2,2,0.80,62,39535,-,-,-
"동부","2014",11,5,-,1,-,-,-,-,-,5,11,5.40,440,265148,-,-,-
"동부","2015",10,3,-,2,-,-,-,-,1,4,10,22.00,1279,1263205,-,-,-
"동부","2016",5,2,-,-,-,-,-,-,-,3,5,2.01,113,67628,-,-,-
"동부","2017",5,4,-,-,1,-,-,-,-,-,5,0.73,21,60487,-,-,-
"동부","2018",2,1,-,-,-,-,-,-,-,1,2,13.16,999,369785,-,-,-
"동부","2019",5,-,-,-,-,-,-,-,-,5,5,2.76,41,85483,-,-,-
"동부","2020",4,-,-,1,2,-,1,-,-,-,4,2.65,-,88195,-,-,-
"동부","2021",5,1,-,-,-,-,-,-,-,4,5,26.61,71,1416180,-,-,-
"동부","2022",5,-,-,-,1,1,-,-,-,3,5,0.86,-,36848,-,-,-
"남부","1995",11,5,-,3,-,-,1,-,-,2,11,62.50,85,121570,-,-,-
"남부","1996",2,2,-,-,-,-,-,-,-,-,2,19.30,-,31778,-,-,-
"남부","1997",8,5,0,1,-,1,-,-,-,1,8,116.01,21,7455,-,-,-
"남부","1998",3,3,-,-,-,-,-,-,-,-,3,24.05,18,70829,-,-,-
"남부","1999",6,5,-,-,-,1,-,-,-,-,6,12.00,25,988,-,-,-
"남부","2000",13,10,-,1,-,-,-,1,-,1,13,37.20,116,131944,-,-,-
"남부","2001",17,11,-,2,-,3,-,-,-,1,17,215.26,10702,908788,3,3,-
"남부","2002",8,2,-,1,2,1,-,-,-,2,8,6.80,689,6425,-,-,-
"남부","2003",4,4,-,-,-,-,-,-,-,-,4,2.75,6,7289,-,-,-
"남부","2004",12,5,-,-,2,2,1,-,-,2,12,122.98,235,337917,-,-,-
"남부","2005",9,4,-,-,-,3,-,-,-,2,-,67.94,50,2773,-,-,-
"남부","2006",7,7,-,-,-,-,-,-,-,-,-,4.64,162,6647,-,-,-
"남부","2007",12,7,0,2,-,1,-,-,-,2,12,6.28,235,17324,1,1,-
"남부","2008",8,5,0,-,1,-,-,-,-,2,8,1.60,76,2188,-,-,-
"남부","2009",14,8,0,1,1,1,-,-,-,3,14,4.91,-,13322,0,0,0
"남부","2010",10,7,-,-,-,-,-,-,1,2,10,4.23,154,93899,-,-,-
"남부","2011",8,1,-,1,4,-,-,-,-,2,8,5.30,1093,173687,-,-,-
"남부","2012",10,6,-,-,-,-,-,-,-,4,10,6.50,225,208570,-,-,-
"남부","2013",5,4,-,-,-,-,-,-,-,1,5,14.17,1876,379851,-,-,-
"남부","2014",9,3,-,-,-,1,-,-,1,4,9,1.39,51,104170,-,-,-
"남부","2015",9,1,-,-,1,1,1,-,-,5,9,2.44,102,161305,-,-,-
"남부","2016",6,3,-,1,-,1,-,-,-,1,6,2.24,70,101128,-,-,-
"남부","2017",13,6,-,1,-,1,-,-,-,5,13,5.98,357,207569,-,-,-
"남부","2018",7,1,-,-,-,-,-,-,-,6,7,12.75,2129,420157,-,-,-
"남부","2019",10,7,-,-,-,-,-,-,1,2,10,8.02,187,244110,-,-,-
"남부","2020",9,5,-,-,-,1,-,-,-,3,9,53.38,5344,4231770,-,-,-
"남부","2021",6,2,-,-,-,2,-,-,-,2,6,4.07,63,303739,-,-,-
"남부","2022",10,5,-,-,-,1,-,-,-,4,10,27.55,183,3955743,-,-,-
"중부","1995",8,4,-,4,-,-,-,-,-,-,8,10.70,60,997,-,-,-
"중부","1996",4,2,-,-,-,-,-,1,-,1,4,3.40,-,1054,-,-,-
"중부","1997",6,4,-,-,1,1,-,-,-,-,6,26.43,18,300,-,-,-
"중부","1998",3,2,-,-,1,-,-,-,-,-,3,1.70,10,1789,-,-,-
"중부","1999",8,4,-,2,-,1,-,-,-,1,8,4.20,25,1249,-,-,-
"중부","2000",9,2,-,3,1,2,-,-,-,1,9,12.37,432,26099,-,-,-
"중부","2001",10,6,-,1,1,1,-,-,-,1,10,7.96,75,16661,-,-,-
"중부","2002",5,4,-,-,-,-,1,-,-,-,5,122.75,1309,17206,-,-,-
"중부","2003",3,1,-,-,-,1,-,-,-,1,3,4.18,26,1949,-,-,-
"중부","2004",3,1,-,-,-,-,-,-,-,2,3,9.35,293,6199,-,-,-
"중부","2005",7,2,-,-,1,3,-,-,-,1,-,9.90,192,3872,-,-,-
"중부","2006",5,2,-,1,1,1,-,-,-,-,-,1.73,12,674,-,-,-
"중부","2007",3,1,0,1,-,-,-,-,-,1,3,1.60,-,-,-,-,-
"중부","2008",6,2,0,1,-,2,-,-,-,1,6,5.62,58,1207,-,-,-
"중부","2009",4,2,0,-,1,1,-,-,-,-,4,0.40,-,-,0,0,0
"중부","2010",3,3,-,-,-,-,-,-,-,-,3,0.30,-,-,-,-,-
"중부","2011",4,3,-,-,1,-,-,-,-,-,4,4.31,-,142580,-,-,-
"중부","2012",4,1,-,-,-,-,-,-,-,3,4,1.35,93,163424,-,-,-
"중부","2013",4,-,-,2,1,-,-,-,-,1,4,0.35,46,24009,-,-,-
"중부","2014",9,5,-,-,1,1,-,-,-,2,9,1.90,-,103879,-,-,-
"중부","2015",7,4,-,-,-,1,-,-,1,1,7,1.02,-,84248,-,-,-
"중부","2016",4,3,-,-,1,-,-,-,-,-,4,67.05,531,1838652,-,-,-
"중부","2017",12,10,-,-,1,-,-,-,-,1,12,17.32,1059,849265,-,-,-
"중부","2018",2,1,-,1,-,-,-,-,-,-,2,0.73,13,46763,1,1,-
"중부","2019",6,1,-,-,1,-,-,-,1,3,6,0.32,4,88688,-,-,-
"중부","2020",5,4,-,-,-,-,1,-,-,-,5,3.10,-,144309,-,-,-
