
폭염일수
[검색조건]
자료구분 : 월
지역/지점 : 경남
기간 : 1973~2022 05~09

년월,폭염일수,평균 최고기온(℃)
2021-05,0.0,23.0
2021-06,0.2,26.8
2021-07,5.5,30.6
2021-08,5.6,30.1
2021-09,0.0,26.2
2022-05,0.2,25.5
2022-06,1.4,27.0
2022-07,5.9,30.8
2022-08,4.8,30.0
2022-09,0.0,26.7

