
폭염일수
[검색조건]
자료구분 : 월
지역/지점 : 충북
기간 : 1973~2022 05~09

년월,폭염일수,평균 최고기온(℃)
2001-08,6.6,30.7
2001-09,0.0,26.6
2002-05,0.0,23.0
2002-06,0.4,27.2
2002-07,2.4,28.9
2002-08,0.6,27.1
2002-09,0.0,25.0
2003-05,0.0,24.0
2003-06,0.0,25.4
2003-07,0.0,26.3
2003-08,0.0,27.4
2003-09,0.0,25.2
2004-05,0.0,22.8
2004-06,1.0,27.6
2004-07,5.4,29.2
2004-08,8.0,29.3
2004-09,0.0,25.4
2005-05,0.0,23.9
2005-06,0.2,28.0
2005-07,2.2,29.1
2005-08,3.2,29.0
2005-09,0.2,25.9
2006-05,0.0,23.6
2006-06,0.0,27.3
2006-07,0.2,26.3
2006-08,12.6,31.5
2006-09,0.0,24.5
2007-05,0.0,24.0
2007-06,0.6,27.3
2007-07,0.0,27.4
2007-08,4.0,29.8
2007-09,0.4,24.6
2008-05,0.0,24.1
2008-06,0.0,25.6
2008-07,6.2,30.5
2008-08,4.4,29.2
2008-09,0.0,26.6
2009-05,0.0,24.7
2009-06,0.6,27.5
2009-07,0.0,27.9
2009-08,1.2,28.8
2009-09,0.0,26.0
2010-05,0.0,23.4
2010-06,0.0,28.5
2010-07,2.2,29.5
2010-08,6.8,30.7
2010-09,1.2,26.2
2011-05,0.0,23.3
2011-06,0.0,27.8
2011-07,1.0,28.8
2011-08,1.0,28.8
2011-09,0.0,25.2
2012-05,0.0,24.6
2012-06,0.2,27.5
2012-07,4.4,29.6
2012-08,7.8,30.1
2012-09,0.0,24.5
2013-05,0.0,24.4
2013-06,0.0,28.4
2013-07,1.4,29.8
2013-08,9.6,31.5
2013-09,0.0,25.4
2014-05,1.2,25.4
2014-06,0.0,27.4
2014-07,4.0,29.9
2014-08,1.0,27.3
2014-09,0.0,26.1
2015-05,0.0,25.6
2015-06,0.6,28.1
2015-07,3.0,28.8
2015-08,6.6,30.2
2015-09,0.0,26.0
2016-05,0.0,25.6
2016-06,0.0,28.1
2016-07,5.2,29.8
2016-08,21.2,32.0
2016-09,0.0,25.8
2017-05,0.2,25.7
2017-06,2.0,28.6
2017-07,4.8,30.2
2017-08,3.6,29.4
2017-09,0.0,25.7
2018-05,0.0,23.8
2018-06,1.0,28.3
2018-07,18.0,31.9
