
폭염일수
[검색조건]
자료구분 : 월
지역/지점 : 충남
기간 : 1973~2022 05~09

년월,폭염일수,평균 최고기온(℃)
1973-05,0.0,22.1
1973-06,0.0,26.0
1973-07,7.0,31.5
1973-08,4.3,30.8
1973-09,0.0,25.3
1974-05,0.0,22.2
1974-06,0.0,25.0
1974-07,0.0,26.8
1974-08,3.8,30.0
1974-09,0.0,25.9
1975-05,0.0,21.5
1975-06,0.2,26.3
1975-07,1.3,29.2
1975-08,7.0,31.5
1975-09,0.3,27.4
1976-05,0.0,22.0
1976-06,0.5,25.8
1976-07,0.3,27.2
1976-08,0.5,28.8
1976-09,0.0,25.3
1977-05,0.0,22.6
1977-06,0.7,27.4
1977-07,8.5,30.4
1977-08,1.7,29.0
1977-09,0.0,26.7
1978-05,0.0,25.2
1978-06,0.0,27.1
1978-07,11.5,31.1
1978-08,3.0,30.5
1978-09,0.0,26.0
1979-05,0.0,22.0
1979-06,0.0,25.9
1979-07,0.8,28.8
1979-08,3.2,29.9
1979-09,0.0,24.6
1980-05,0.0,22.4
1980-06,0.0,26.2
1980-07,0.0,26.8
1980-08,0.0,26.8
1980-09,0.0,24.9
1981-05,0.0,21.9
1981-06,0.5,27.0
1981-07,6.5,29.9
1981-08,0.2,28.8
1981-09,0.0,25.2
1982-05,0.0,23.9
1982-06,0.0,27.5
1982-07,2.8,29.9
1982-08,5.2,29.6
1982-09,0.0,26.1
1983-05,0.0,24.0
1983-06,1.0,27.7
1983-07,1.2,27.7
1983-08,7.7,30.3
1983-09,0.2,26.7
1984-05,0.0,23.9
1984-06,1.0,27.7
1984-07,4.2,29.4
1984-08,9.7,31.2
1984-09,0.0,25.6
1985-05,0.0,23.8
1985-06,0.0,26.9
1985-07,5.7,29.5
1985-08,10.0,31.4
1985-09,0.0,25.1
1986-05,0.0,22.5
1986-06,0.0,26.4
1986-07,2.3,27.7
1986-08,1.8,29.6
1986-09,0.0,24.7
1987-05,0.0,22.9
1987-06,0.3,27.4
1987-07,0.7,27.6
1987-08,0.3,29.0
1987-09,0.0,25.4
1988-05,0.0,23.9
1988-06,0.0,27.2
1988-07,2.0,28.5
1988-08,10.5,31.0
1988-09,0.0,26.7
1989-05,0.0,23.5
1989-06,0.0,25.7
1989-07,3.3,29.1
1989-08,3.7,30.0
1989-09,0.0,25.6
1990-05,0.0,21.4
1990-06,0.0,25.9
1990-07,5.7,29.7
1990-08,10.8,31.8
1990-09,0.2,26.6
1991-05,0.0,23.1
1991-06,0.2,27.3
1991-07,0.7,28.1
1991-08,3.5,29.4
1991-09,0.0,25.5
1992-05,0.0,22.3
1992-06,0.0,26.3
1992-07,4.2,29.7
1992-08,2.5,29.7
1992-09,0.0,25.4
1993-05,0.0,24.0
1993-06,0.0,26.2
1993-07,0.0,27.6
1993-08,0.2,27.0
1993-09,0.0,26.6
1994-05,0.0,23.3
1994-06,1.3,27.8
1994-07,20.8,33.4
1994-08,9.8,31.8
1994-09,0.2,26.6
1995-05,0.0,22.4
1995-06,0.0,27.0
1995-07,2.3,29.0
1995-08,6.3,30.8
1995-09,0.0,25.1
1996-05,0.0,23.7
1996-06,0.3,25.8
1996-07,4.5,29.2
1996-08,13.3,30.8
1996-09,0.0,27.6
1997-05,0.0,22.6
1997-06,1.7,28.1
1997-07,8.7,30.0
1997-08,4.8,31.3
1997-09,0.2,26.3
1998-05,0.0,23.8
1998-06,0.0,25.0
1998-07,0.0,28.3
1998-08,0.5,28.9
1998-09,1.5,27.5
1999-05,0.0,22.2
1999-06,1.0,27.5
1999-07,2.2,28.9
1999-08,4.0,29.6
1999-09,0.0,27.0
2000-05,0.2,22.0
2000-06,0.7,26.6
2000-07,4.2,30.5
2000-08,7.2,30.5
2000-09,0.0,24.9
2001-05,0.0,24.6
2001-06,1.3,26.8
2001-07,3.8,30.5
