
폭염일수
[검색조건]
자료구분 : 월
지역/지점 : 강원영서
기간 : 1973~2022 05~09

년월,폭염일수,평균 최고기온(℃)
2011-05,0.0,23.5
2011-06,2.0,27.5
2011-07,0.8,28.3
2011-08,3.8,30.0
2011-09,0.2,25.4
2012-05,0.0,24.9
2012-06,1.0,29.2
2012-07,2.6,29.7
2012-08,9.4,30.9
2012-09,0.0,24.6
2013-05,0.0,24.4
2013-06,0.8,29.5
2013-07,0.4,29.0
2013-08,5.6,31.5
2013-09,0.0,25.4
2014-05,1.2,25.8
2014-06,0.2,28.4
2014-07,6.0,31.2
2014-08,2.0,28.4
2014-09,0.0,26.4
2015-05,0.4,26.1
2015-06,1.8,29.7
2015-07,4.2,29.7
2015-08,5.0,30.9
2015-09,0.0,26.6
2016-05,0.2,25.8
2016-06,0.0,28.9
2016-07,4.2,29.5
2016-08,18.4,31.9
2016-09,0.0,26.5
2017-05,0.0,25.5
2017-06,2.0,28.7
2017-07,3.8,29.8
2017-08,4.0,28.6
2017-09,0.0,25.5
2018-05,0.0,23.4
2018-06,1.2,28.7
2018-07,14.0,31.4
2018-08,15.0,32.3
2018-09,0.0,25.0
2019-05,0.4,26.1
2019-06,0.2,27.8
2019-07,4.4,29.6
2019-08,8.8,31.1
2019-09,0.0,26.4
2020-05,0.0,22.5
2020-06,4.2,28.2
2020-07,0.4,26.8
2020-08,2.0,28.8
2020-09,0.0,23.6
2021-05,0.0,21.2
2021-06,0.2,26.4
2021-07,15.2,31.2
2021-08,2.4,28.0
2021-09,0.0,25.1
2022-05,0.0,23.7
2022-06,0.8,26.1
2022-07,6.8,29.8
2022-08,0.6,27.8
2022-09,0.0,25.4

