
열대야일수
[검색조건]
자료구분 : 월
지역/지점 : 경북
기간 : 1973~2022 05~09

년월,열대야일수,평균 최고기온(℃)
1994-08,6.3,32.8
1994-09,0.3,27.5
1995-05,0.0,23.0
1995-06,0.0,25.2
1995-07,3.1,29.7
1995-08,5.2,32.1
1995-09,0.3,24.5
1996-05,0.0,23.9
1996-06,0.0,25.1
1996-07,2.5,29.1
1996-08,1.5,30.3
1996-09,0.0,26.8
1997-05,0.0,23.8
1997-06,0.0,28.2
1997-07,1.9,29.4
1997-08,1.4,29.9
1997-09,0.3,25.6
1998-05,0.0,24.4
1998-06,0.0,23.9
1998-07,1.7,27.3
1998-08,1.8,28.6
1998-09,0.0,26.8
1999-05,0.0,23.9
1999-06,0.0,26.9
1999-07,0.7,27.4
1999-08,0.6,28.1
1999-09,0.0,26.6
2000-05,0.0,24.5
2000-06,0.2,27.0
2000-07,2.7,30.8
2000-08,1.1,29.6
2000-09,0.1,24.1
2001-05,0.0,24.9
2001-06,0.3,27.1
2001-07,3.5,30.9
2001-08,1.7,30.4
2001-09,0.0,25.9
2002-05,0.0,22.1
2002-06,0.0,26.9
2002-07,1.2,28.6
2002-08,2.2,27.1
2002-09,0.0,24.9
2003-05,0.0,22.5
2003-06,0.0,25.7
2003-07,0.0,25.3
2003-08,1.0,27.9
2003-09,0.0,25.4
2004-05,0.0,23.4
2004-06,0.0,27.4
2004-07,2.5,30.4
2004-08,1.1,29.2
2004-09,0.0,25.3
2005-05,0.0,23.6
2005-06,0.5,28.4
2005-07,1.8,29.3
2005-08,3.5,29.8
2005-09,0.4,25.7
2006-05,0.0,22.9
2006-06,0.1,27.0
2006-07,1.3,26.5
2006-08,3.0,31.7
2006-09,0.0,24.6
2007-05,0.0,24.5
2007-06,0.1,26.8
2007-07,0.9,27.3
2007-08,3.5,30.7
2007-09,0.2,25.2
2008-05,0.0,24.2
2008-06,0.0,24.7
2008-07,3.7,31.5
2008-08,1.8,29.1
2008-09,0.0,26.5
2009-05,0.0,25.4
2009-06,0.1,27.9
2009-07,0.5,27.8
2009-08,0.3,28.4
2009-09,0.0,26.4
2010-05,0.0,23.6
2010-06,0.0,28.4
2010-07,3.2,30.1
